Table: Total Coal Consumption (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0.00012,0.00022,0.00007,0.00013,0.00024,0.0005,0.00029,0.00049,0.00058,0.00053,0.00093,0.00062,0.00162,0.00111,0.0012,0.00009,0.00002,0.00002,0.00003,0.00002,0,0.00001,0.00028,0.00036,0.00028,0.00011,0.00019,0.00032,0.00019,0.00016,0.00031,0,0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0.00005,0.00005,0.00083,0.00106,0.00143,0.00088,0.00372,0.0033,0.00013,0.0002,0.00006,0.00009,0.00007,0.00009,0.00011,0.00016,0.00008,0.00008,0.00008,0.00006,0.00006,0.00003,0.00079,0.0028,0.00076,0.00274,0.00204,0.00198,0.0021,0.00271,0.00277,0.01499,0.02074
Taiwan,,0.14675,0.13323,0.15324,0.21511,0.25542,0.26443,0.33058,0.35231,0.39923,0.42846,0.40462,0.44735,0.51472,0.62644,0.6598,0.73186,0.8038,0.92635,1.00423,1.0827,1.2853,1.32605,1.47231,1.56201,1.60239,1.6346,1.71029,1.78946,1.71873,1.63801,1.7329,1.8155,1.78476
Thailand,,0.01682,0.01909,0.02718,0.02541,0.03081,0.06348,0.06555,0.08279,0.09022,0.10863,0.14707,0.17279,0.17728,0.18857,0.21659,0.25294,0.38029,0.36261,0.29411,0.31608,0.32548,0.3705,0.38304,0.40365,0.44639,0.47917,0.52152,0.58401,0.64547,0.62208,0.68144,0.76025,0.66503
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,0.12665,0.12156,0.13445,0.13531,0.13542,0.15804,0.13448,0.15008,0.11775,0.12221,0.11245,0.11277,0.09811,0.12859,0.12781,0.17489,0.20742,0.18991,0.19069,0.17613,0.18217,0.20933,0.22984,0.24265,0.3293,0.34303,0.36793,0.39427,0.48687,0.52545,0.61037,0.64728,0.5677
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,69.92998,71.37874,72.50415,74.5583,79.02382,82.39291,83.70288,86.38574,89.06857,88.9062,89.08528,86.00916,84.79202,85.4668,86.06808,87.68676,90.13771,89.55894,89.19214,90.6294,95.46309,95.64138,97.4397,105.10619,112.79082,118.43003,124.47029,129.72694,132.14729,132.82705,142.1463,148.54701,146.8226
